id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,"The customer is inquiring about the status of their order and where it is, which fits the order_status category.",True,improved,v2,,
t001,"Hello, I placed an order for a blender five days ago, and I'm quite frustrated because the tracking information hasn't changed at all. Can you please provide me with an update on its whereabouts?",order_status,order_status,The customer is inquiring about the status of their order and tracking information.,True,improved,v2,,
t002,"Dear Support Team, I hope you're well. I ordered a blender recently, and it's been five days without any updates on the tracking page. Could you assist me in locating my order?",order_status,order_status,The customer is inquiring about the status of their order and has not received any updates.,True,improved,v2,,
t003,"Hey there, I ordered a blender a week back and the tracking page still shows nothing new. Any chance you could update me on its status?",order_status,order_status,The customer is inquiring about the status of their order and tracking information.,True,improved,v2,,
t004,I never received my order and I want my money back.,order_status,order_status,The customer is primarily concerned about not receiving their order.,True,improved,v2,,
t005,"I still haven't gotten my order, and I'm really frustrated. I need a refund immediately.",order_status,order_status,The customer is primarily concerned about not receiving their order.,True,improved,v2,,
t006,"Hello, I seem to be missing my shipment and would appreciate a prompt refund for my order.",order_status,order_status,The customer is primarily concerned about not receiving their shipment.,True,improved,v2,,
t007,"This is ridiculous! My order never arrived, and I demand a full refund right now.",order_status,order_status,The customer is primarily concerned about their order not arriving.,True,improved,v2,,
t008,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,"The customer is inquiring about the whereabouts of their order, which shows as delivered but is not received.",True,improved,v2,,
t009,"I checked my order status, and it says it was delivered last Tuesday, but I can’t find it at my house, my neighbor’s place, or even in the mailroom. What should I do next?",order_status,order_status,"The customer is inquiring about the whereabouts of their order, which they believe was delivered but cannot find.",True,improved,v2,,
t010,"My order (number 98765) was marked delivered last Tuesday, but I haven't received it. It's not with my neighbors or in the mailroom. Can you please help me resolve this?",order_status,order_status,"The customer is inquiring about the delivery status of their order, which was marked as delivered but not received.",True,improved,v2,,
t011,"So my package says it was delivered last Tuesday, but it's as if it vanished! It's definitely not at my door, my neighbor’s, or even in the mailroom. What's the next step here?",order_status,order_status,The customer is inquiring about the whereabouts of their package that was marked as delivered but is missing.,True,improved,v2,,
